,date_of_fail,product_description,country_of_origin,producer_name,reason_for_fail,results,units,reference,food_category,test_applied,holding_order_number,category   ,result/s,category,test_applied/_reason_for_fail,results/units,results_/_units.1,result,results_in_mg_per_kg
11,2019-06-06,Cassava chips,India,Economic Food Solutions Pvt Ltd,Hydrocyanic acid,11.0,mg/kg,CAS 09/2016,Risk,Not Applied,,,,,,,,,11.0
12,2019-06-13,Dried fish keeramin,Sri Lanka,D&R Exports Pvt Ltd,Histamine,700.0,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,,700.0
13,2019-06-17,Kelp knots,China,"Fuzhou Hailin Foods Co., Ltd",Iodine,,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,,
14,2019-06-17,Kelp sheets,China,"Fuzhou Hailin Foods Co., Ltd",Iodine,,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,,
15,2019-06-24,Tapioca chips,India,Kozhikodens,Hydrocyanic acid,11.0,mg/kg,CAS 09/2016,Risk,Not Applied,,,,,,,,,11.0
16,2019-06-24,Nut crackers spicy coated fried peanuts,India,Haldiram Snacks Pvt Ltd,Aflatoxin,0.023,mg/kg,NUT 11/208,Risk,Not Applied,,,,,,,,,0.023
17,2019-06-24,,,,,,none,,Risk,Not Applied,,,,,,,,,
18,2019-06-05,Mung dhal,Myanmar,Ays Mfg Co Ltd,Fruit and vegetable residue screen,0.03,,mg/kg,Risk,Not Applied,,,,,,,,,0.03
19,2019-06-05,Mung chilka split,Myanmar,Ays Mfg Co Ltd,Fruit and vegetable residue screen,0.19,,mg/kg,Risk,Not Applied,,,,,,,,,0.19
20,2019-06-07,Frozen seasoned flying fish roe,Japan,Daiei Foods Co Ltd (Japan),Composition,,food,,Risk,Not Applied,,,,,,,,,
21,2019-06-06,Confectionery ,France,Geprocor,Composition,,food,,Risk,Not Applied,,,,,,,,,
22,2019-06-03,Dried seedless red dates,China,Zhongshan Best Honest Trading Co Ltd,Fruit and vegetable residue screen,0.07,,mg/kg,Risk,Not Applied,,,,,,,,,0.07
23,2019-06-11,Fresh lychee,China,Zhangzhou Xinmingxing Trading Co Ltd,Fruit and vegetable residue screen,0.55,,mg/kg,Risk,Not Applied,,,,,,,,,0.55
24,2019-06-04,Frozen dried longan,Thailand,Tanaya International Co Ltd,Fruit and vegetable residue screen,0.053,,mg/kg,Risk,Not Applied,,,,,,,,,0.053
25,2019-06-12,Tea biscuits,Serbia,Koncern Bambi A.D,Composition,,food,,Risk,Not Applied,,,,,,,,,
26,2019-06-11,Fresh lychee,China,Zhangzhou Xinmingxing Trading Co Ltd,Fruit and vegetable residue screen,1.2,,mg/kg,Risk,Not Applied,,,,,,,,,1.2
27,2019-06-13,Green chilli,Vietnam,Thai Thuan Binh Co.Ltd,Fruit and vegetable residue screen,0.2,,mg/kg,Risk,Not Applied,,,,,,,,,0.2
28,2019-06-13,Red chilli,Vietnam,Thai Thuan Binh Co.Ltd,Fruit and vegetable residue screen,0.1,,mg/kg,Risk,Not Applied,,,,,,,,,0.1
29,2019-06-17,Masala curry powder,South Africa,Packo (Verulam South Africa),Composition,,food,,Risk,Not Applied,,,,,,,,,
30,2019-06-19,Fresh chilli,India,Vadilal Industries Limited,Fruit and vegetable residue screen,0.07,,mg/kg,Risk,Not Applied,,,,,,,,,0.07
31,2019-06-25,Frozen cowpeas,Fiji,Labasa Farm Fresh,Fruit and vegetable residue screen,0.31,,mg/kg,Risk,Not Applied,,,,,,,,,0.31
32,2019-06-12,Indian flat beans,India,Innovative Cuisine,Fruit and vegetable residue screen,0.05,,mg/kg,Risk,Not Applied,,,,,,,,,0.05
33,2019-06-26,Wheaten flour,Taiwan,"Yi-Feng Food Co., Ltd.",Composition,,food,,Risk,Not Applied,,,,,,,,,
34,2019-06-28,Cut hyacinth beans,India,Vadilal Industries Limited,Fruit and vegetable residue screen,0.09,,mg/kg,Risk,Not Applied,,,,,,,,,0.09
35,2019-07-04,Pasteurised cooked crab meat,Vietnam,Phillips Seafood (Vietnam) Co Ltd,Standard plate count,,cfu/g,CRU 03/2019,Risk,Not Applied,,,,,,,,,
36,2019-07-04,Pata de mulo cheese,Spain,Fco Javier Barrera Alvarez Lacteos Siete Lobas Crta Ardon,Listeria,,cfu/g,CHE 07/2018,Risk,Not Applied,,,,,,,,,
37,2019-07-18,Crushed chilli,Turkey,Narin Bys Dis Ticaret,Salmonella,125.0,g,SPI 06/2019,Risk,Not Applied,,,,,,,,,1250000.0
38,2019-07-25,Gialloblu erborinato cheese,Italy,Mantegazza Formaggi,Listeria,125.0,g,CHE 07/2018,Risk,Not Applied,,,,,,,,,1250000.0
39,2019-07-29,Frozen raw whole white clam shells,Vietnam,Ngoc Ha Co Ltd Food Processing And Trading,E. coli,,mpn/g,MOL 04/2017,Risk,Not Applied,,,,,,,,,
40,2019-07-27,Frozen scallops,Japan,Jyojirushi Douwasyokuhin Co Ltd,Listeria,125.0,g,MOL 04/2017,Risk,Not Applied,,,,,,,,,1250000.0
41,2019-07-27,,,,,,none,,Risk,Not Applied,,,,,,,,,
42,2019-07-02,Dried fish tuyo in olive oil,Philippines,Zaragoza Foods Corp,Histamine,370.0,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,,370.0
43,2019-07-03,Tapioca chips,India,Gowri Exports & Imports,Hydrocyanic acid,12.0,mg/kg,CAS 09/2016,Risk,Not Applied,,,,,,,,,12.0
44,2019-07-08,Cassava chips,Indonesia,"Arira Pangindo (Bogor, Indonesia)",Hydrocyanic acid,11.0,mg/kg,CAS 09/2016,Risk,Not Applied,,,,,,,,,11.0
45,2019-07-09,Roasted peanuts,China,Qingdao Zest Foods Co Ltd,Aflatoxin,0.044,mg/kg,NUT 11/208,Risk,Not Applied,,,,,,,,,0.044
46,2019-07-09,Spiced fried peanuts,India,Haldriram Bhujiawalal Pty Ltd (India),Aflatoxin,0.076,mg/kg,NUT 11/208,Risk,Not Applied,,,,,,,,,0.076
47,2019-07-05,Ground dried fish,Taiwan,Kuang Ta Hsiang Foodstuffs Co Ltd (Taiwan),Histamine,290.0,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,,290.0
48,2019-07-09,Tapioca chips,India,Economic Food Soutions Pvt Ltd,Hydrocyanic acid,20.0,mg/kg,CAS 09/2016,Risk,Not Applied,,,,,,,,,20.0
49,2019-07-25,Tapioca chips,India,Kozhikodens,Hydrocyanic acid,18.0,mg/kg,CAS 09/2016,Risk,Not Applied,,,,,,,,,18.0
50,2019-07-25,Black sesame crisps,China,Huanglaowu Food Co Ltd,Aflatoxin,0.028,mg/kg,NUT 11/208,Risk,Not Applied,,,,,,,,,0.028
51,2019-07-30,Pistachio nut kernel pieces,China,Chk Trading Co Ltd,Aflatoxin,0.1,mg/kg,NUT 11/208,Risk,Not Applied,,,,,,,,,0.1
52,2019-07-30,Fried peanuts,China,"Henan Kaixinren Food Co.,Ltd",Aflatoxin,0.086,mg/kg,NUT 11/208,Risk,Not Applied,,,,,,,,,0.086
53,2019-07-30,,,,,,none,,Risk,Not Applied,,,,,,,,,
54,2019-07-02,Indian flat beans,India,Innovative Cuisine,Cypermethrin,,mg/kg,FSC 1.4.2,Risk,Fruit and vegetable residue screen,,,,,,,,,
55,2019-07-01,Dried longan,China,Zhongshan Yuncheng Trading Co. Ltd.,Carbendazim,0.06,mg/kg,FSC 1.4.2,Risk,Fruit and vegetable residue screen,,,,,,,,,0.06
56,2019-07-03,Tea biscuits,Serbia,Koncern Bambi A.D,Vitamin A,,none,FSC 1.3.2,Risk,Composition,,,,,,,,,
57,2019-07-04,Chips,Philippines,Leslie Corporation,"Vitamins A, B1, B2, B3, B5, B6, B12 and Folic Acid",,none,FSC 1.3.2,Risk,Composition,,,,,,,,,
58,2019-07-08,Mangosteens,Thailand,Ptn Exotic Produce Co Ltd,Chlorpyrifos,0.3,mg/kg,FSC 1.4.2,Risk,Fruit and vegetable residue screen,,,,,,,,,0.3
59,2019-07-08,Fresh lychees,China,Zhangzhou Xinmingxing Trading Co Ltd,Difenoconazole,,mg/kg,FSC 1.4.2,Risk,Fruit and vegetable residue screen,,,,,,,,,
60,2019-07-08,Wheat flour,India,Itc Limited,Arsenic,37.0,mg/kg,FSC 1.4.1,Risk,Arsenic,,,,,,,,,37.0
61,2019-07-08,Fresh lychees,China,Zhangzhou Xinmingxing Trading Co Ltd,Difenoconazole,,mg/kg,FSC 1.4.2,Risk,Fruit and vegetable residue screen,,,,,,,,,
62,2019-07-09,High gluten flour,Taiwan,"Yi-Feng Food Co., Ltd.",Vitamin C,,none,FSC 1.3.1,Risk,Composition,,,,,,,,,
63,2019-07-09,Split mung beans,Myanmar,Ays Mfg Co Ltd,Chlorpyrifos,,mg/kg,FSC 1.4.2,Risk,Fruit and vegetable residue screen,,,,,,,,,
64,2019-01-11,Frozen chopped spinach,India,Innovative Cuisine,Chlorpyrifos,0.03,mg/kg,FSC 1.4.2,Risk,Fruit and vegetable residue screen,,,,,,,,,0.03
65,2019-07-10,Formulated supplementary food,India,Patanjali Ayurved Limited,"Mineral copper, Vitamin B7 ",,none,FSC 1.3.2,Risk,Composition,,,,,,,,,
66,2019-07-11,Smoked catfish pieces ,Thailand,Speed General Trading Co Ltd,Enrofloxacin,0.0031,mg/kg,FSC 1.4.2,Risk,Seafood antimicrobial tests,,,,,,,,,0.0031
67,2019-07-16,Pilchards in hot chilli sauce,Namibia,United Fishing Enterprises (Pty) Ltd,Irradiated cayenne pepper,,none,FSC 1.5.3,Risk,Composition,,,,,,,,,
68,2019-07-16,Hot mixed vegetable pickle,South Africa,Packo (Verulam South Africa),"Irradiated chilli, irradiated mustard, irradiated tumeric",,none,FSC 1.5.3,Risk,Composition,,,,,,,,,
69,2019-07-16,Ground biscuits,Serbia,Koncern Bambi A.D,Vitamin C,,none,FSC 1.3.2,Risk,Composition,,,,,,,,,
70,2019-07-23,Biscuits,Serbia,Koncern Bambi A.D,Vitamin C,,none,FSC 1.3.2,Risk,Composition,,,,,,,,,
71,2019-07-16,Bitter gourd,India,Finns Frozen Foods (India) Limited,Dimethoate,0.026,mg/kg,FSC 1.4.2,Risk,Fruit and vegetable residue screen,,,,,,,,,0.026
72,2019-07-16,Indian beans (val papdi),India,Finns Frozen Foods (India) Limited,Cypermethrin,0.21,mg/kg,FSC 1.4.2,Risk,Fruit and vegetable residue screen,,,,,,,,,0.21
73,2019-07-26,Frozen cut okra,India,Aerath Business Corporation,Acephate,0.087,mg/kg,FSC 1.4.2,Risk,Fruit and vegetable residue screen,,,,,,,,,0.087
74,2019-07-26,Frozen dried longan,Thailand,Tanaya International Co Ltd,Carbendazim,0.073,mg/kg,FSC 1.4.2,Risk,Fruit and vegetable residue screen,,,,,,,,,0.073
75,2019-07-18,Dried tsaoko fruit,China,Success Day Hong,Phenylphenol,0.16,mg/kg,FSC 1.4.2,Risk,Fruit and vegetable residue screen,,,,,,,,,0.16
76,2019-07-18,Lou han guo (monk fruit),China,Success Day Hong,Cyhalothrin,,mg/kg,FSC 1.4.2,Risk,Fruit and vegetable residue screen,,,,,,,,,
77,2019-07-29,Frozen dried longan,Thailand,Tanaya International Co Ltd,Carbendazim,0.073,mg/kg,FSC 1.4.2,Risk,Fruit and vegetable residue screen,,,,,,,,,0.073
78,2019-07-25,Dried longan,China,"Jiangmen Junying Food Co., Ltd",Tebuconazole,0.06,mg/kg,FSC 1.4.2,Risk,Fruit and vegetable residue screen,,,,,,,,,0.06
79,2019-07-30,Pickled apricot katsuome,Japan,Yoneya (Japan),Vitamin B1,,none,FSC 1.3.2,Risk,Composition,,,,,,,,,
80,2019-07-30,Pickled apricot shiso ume,Japan,Yoneya (Japan),Vitamin B1,,none,FSC 1.3.2,Risk,Composition,,,,,,,,,
81,2019-07-30,Pickled apricot hachimitsu ume,Japan,Yoneya (Japan),Vitamin B1,,none,FSC 1.3.2,Risk,Composition,,,,,,,,,
82,2019-08-01,Frozen cooked whole craw fish,China,"Zhejiang Tianhe Aquatic Products Inc., Ltd",Standard plate count,,cfu/g,"CRU 03/2019

",Risk,Not Applied,,,,,,,,,
83,2019-08-05,Chilli powder,India,Kottackal Agro Foods,Salmonella,125.0,g,SPI 06/2019,Risk,Not Applied,,,,,,,,,1250000.0
84,2019-08-06,Diced mozzarella cheese,Italy,Europomella Spa (It 12/009 Ce),Listeria,125.0,g,CHE 07/2018,Risk,Not Applied,,,,,,,,,1250000.0
85,2019-08-22,Chilli powder,India,Spectrum International,Salmonella,125.0,g,SPI 06/2019,Risk,Not Applied,,,,,,,,,1250000.0
86,2019-08-23,Tahini,Pakistan,Tat Pakistan Sesame Mills,Salmonella,125.0,g,SES 05/2014,Risk,Not Applied,,,,,,,,,1250000.0
87,2019-08-30,Halawah with pistachio,Syria,Al Asala Foodstuff Co,Listeria,125.0,g,SES 05/2014,Risk,Not Applied,,,,,,,,,1250000.0
88,2019-08-30,,,,,,none,,Risk,Not Applied,,,,,,,,,
89,2019-08-05,Spiced peanuts,India,Raghuvanshi Exports,Aflatoxin,0.214,mg/kg,NUT 11/208,Risk,Not Applied,,,,,,,,,0.214
90,2019-08-14,Dried herring,Philippines,Kaelen Phils Inc,Histamine,360.0,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,,360.0
91,2019-08-12,Kelp slices,China,Fuzhou Hailin Food Co Ltd,Iodine,3900.0,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,,3900.0
92,2019-08-12,Kelp shreds,China,Fuzhou Hailin Food Co Ltd,Iodine,3300.0,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,,3300.0
93,2019-08-12,Dried kelp knots,China,Fuzhou Hailin Food Co Ltd,Iodine,2000.0,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,,2000.0
94,2019-08-23,Tuna in vegetable oil,Islamic Replubic of Iran,Fedelak Food Industry,Histamine,532.0,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,,532.0
95,2019-08-23,Tapioca chips,India,Nilamel Exports,Hydrocyanic acid,11.0,mg/kg,CAS 09/2016,Risk,Not Applied,,,,,,,,,11.0
96,2019-08-29,Dried anchovies,India,Aquatic Fisheries,Histamine,390.0,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,,390.0
97,2019-08-29,,,,,,none,,Risk,Not Applied,,,,,,,,,
98,2019-08-06,Chilli sauce,Thailand,Chefs Choice Foods Mfr Co Ltd (Thailand),Vitamin C,,none,FSC 1.3.2,Risk,Composition,15287,,,,,,,,
99,2019-08-09,Porridge oats,United Kingdom,Ramsden/Weetabis,Vitamin B1,,none,FSC 1.3.2,Risk,Composition,15288,,,,,,,,
100,2019-08-09,Breakfast cereal,United Kingdom,Ramsden/Weetabis,Vitamin B5,,none,FSC 1.3.2,Risk,Composition,15288,,,,,,,,
101,2019-08-15,Frozen green chilli,India,Arctic Agro Foods Pvt Ltd,"Monocrotophos
Tebuconazole",,mg/kg,FSC 1.4.2,Risk,Fruit and vegetable residue screen,15295,,,,,,,,
102,2019-08-16,Sliced red dates,China,Micson Food Processing,Carbendazim,,mg/kg,FSC 1.4.2,Risk,Fruit and vegetable residue screen,HO match,,,,,,,,
103,2019-08-19,Spinach leaves,India,Vadilal Industries Limited,Chlorpyrifos,0.23,mg/kg,FSC 1.4.2,Risk,Fruit and vegetable residue screen,HO match,,,,,,,,0.23
104,2019-08-13,Fresh lychees,China,Zhangzhou Xinmingxing Trading Co Ltd,Chlorpyrifos,,mg/kg,FSC 1.4.2,Risk,Fruit and vegetable residue screen,HO match,,,,,,,,
105,2019-08-13,Seasoned squid salad,China,Dalian Gaishi Food Co Ltd,Additive (Colour 160b),,none,FSC 1.3.1,Risk,Composition,HO match,,,,,,,,
106,2019-08-14,Preserved salted plums,China,Kiu Sang Hong Limited (Hong Kong),Lead,1.1,none,FSC 1.4.1,Risk,Lead,HO match,,,,,,,,1.1
107,2019-08-15,Candy corn,United States,Ferrara Cany Company,Additive E127 (erythrosine),,none,FSC 1.3.1,Risk,Composition,15312,,,,,,,,
108,2019-08-21,Tapioca flake,Indonesia,Pt Marizarasa Sarimurni (Indonesia),Additive E127 (erythrosine),,none,FSC 1.3.1,Risk,Composition,15316,,,,,,,,
109,2019-08-26,Cambodge dried tamarind,India,Kkr Agro Mills (P) Ltd,2-Phenylphenol,0.14,mg/kg,FSC 1.4.2,Risk,Fruit and vegetable residue screen,HO match,,,,,,,,0.14
110,2019-08-22,Toor dal (pigeon peas),Myanmar,Ays Mfg Co Ltd,Chlorpyrifos,0.12,mg/kg,FSC 1.4.2,Risk,Fruit and vegetable residue screen,15323,,,,,,,,0.12
111,2019-09-03,Extra hot chilli powder,India,Shah Exim Pvt Ltd,Salmonella,125.0,g,SPI 06/2019,Risk,Not Applied,,,,,,,,,1250000.0
112,2019-09-16,Frozen marinara mix,China,Shandong Tongxing Foodstuffs Co Ltd,E. coli,,mpn/g,MSM 11/2018,Risk,Not Applied,,,,,,,,,
113,2019-09-16,Frozen whole cooked brandy crawfish,China,Standard Plate Count,Standard plate count,,cfu/g,CRU 03/2019,Risk,Not Applied,,,,,,,,,
114,2019-09-02,Cheese,Italy,Casa Madaio,Listeria,125.0,g,CHE 07/2018,Risk,Not Applied,,,,,,,,,1250000.0
115,2019-09-02,,,,,,none,,Risk,Not Applied,,,,,,,,,
116,2019-09-02,,,,,,none,,Risk,Not Applied,,,,,,,,,
117,2019-09-02,,,,,,none,,Risk,Not Applied,,,,,,,,,
118,2019-09-03,Seasoned seaweed,Japan,Kurakon Foods Corporation,Iodine,3400.0,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,,3400.0
119,2019-09-09,Sardines in tomato sauce,China,Sunny Success International Ltd,Histamine,280.0,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,,280.0
120,2019-09-16,Spicy gram flour coated peanuts,India,Sunshine Food Products,Aflatoxin,,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,,
121,2019-09-18,Satay sauce,Indonesia,Pt Enak Jaya Makmur,Aflatoxin,0.025,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,,0.025
122,2019-09-16,Dried thora fish,Sri Lanka,Damayanthi Ent & Exp (Sri Lanka),Histamine,210.0,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,,210.0
123,2019-08-29,Kelp powder,China,Xi'an Pincredit Bio-Tech Co Ltd,Iodine,6660.0,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,,6660.0
124,2019-09-30,Peanut spread,Philippines,Unilever Phils,Vitamin A,,none,FSC 1.3.2,Risk,Not Applied,,,,,,,,,
125,2019-09-30,,,,,,none,,Risk,Not Applied,,,,,,,,,
126,2019-09-30,,,,,,none,,Risk,Not Applied,,,,,,,,,
127,2019-09-03,Steamed red bean grain bun,China,Shanghai Light Industrial Products Imp& Exp Corp.Ltd,Vitamin C,,none,FSC 1.3.2,Risk,Composition,15350,,,,,,,,
128,2019-09-19,Flavoured pan masala,India,Dharampal Premchand Ltd,"Areca catechu
(Betel nut) 

",,none,FSC 1.4.4,Risk,Composition,15435,,,,,,,,
129,2019-09-05,Dried haw,China,Yongxiang Food Processing Plant,Carbendazim,,mg/kg,FSC 1.4.2,Risk,Fruit and vegetable residue screen,15351,,,,,,,,
130,2019-09-11,Coffee,Thailand,Nature Gift (Thailand) Ltd Dk Health Product Lyd Part,Niacin,,none,FSC 1.3.2,Risk,Composition,15359,,,,,,,,
131,2019-09-05,Ramen noodles pork broth,Japan,"Marutai Co., Ltd",Additive 165 (Gardenia blue),,none,FSC 1.3.1,Risk,Composition,15360,,,,,,,,
132,2019-09-06,Spinach leaves,India,Vadilal Industries Limited,Chlorpyrifos,0.09,mg/kg,FSC 1.4.2,Risk,Fruit and vegetable residue screen,HO Match,,,,,,,,0.09
133,2019-09-05,Instant noodles,Japan,Toyo Suisan Kaisha Ltd,Additive 165 (Gardenia blue) Additive 180 (Lithol Rubine BK),,none,FSC 1.3.1,Risk,"Composition

",15367,,,,,,,,
134,2019-09-05,Canned yellow peaches,Republic of Korea,Penguin General Food Co Ltd (Korea),0.2,,mg/kg,FSC 1.4.1,Risk,Lead,15368,,,,,,,,
135,2019-09-13,Formulated supplementary sports food,United States,4excelsior Pharma Spirit,Unapproved novel food,,none,FSC 1.5.1,Risk,Composition,15369,,,,,,,,
136,2019-09-06,Taro flavoured powder,Taiwan,King Heng Foods Co Ltd,Not permitted in this food,,none,FSC 1.3.1,Risk,Composition,15372,,,,,,,,
137,2019-09-23,Wheaten flour,Taiwan,"Yi-Feng Food Co., Ltd.",Vitamin C,,none,FSC 1.3.2,Risk,Composition,HO Match,,,,,,,,
138,2019-09-19,Dried Chinese dates,China,Bozhou Haomen Chinese Herbal Medicine Co Ltd,Cypermethrin,0.11,mg/kg,FSC 1.4.2,Risk,Fruit and vegetable residue screen,15384,,,,,,,,0.11
139,2019-09-26,Boiled bracken,Republic of Korea,Singwang Ecofarm Co Ltd,Pteridium aquilinum,,none,FSC 1.4.4,Risk,Composition,HO Match,,,,,,,,
140,2019-09-27,Dried hawthorn fruit,China,Guang Dong Jiexi Maolin Food Co Ltd,Carbendazim,,none,FSC 1.4.2,Risk,Fruit and vegetable residue screen,15390,,,,,,,,
141,2019-09-17,High gluten flour,Taiwan,"Yi-Feng Food Co., Ltd.",Vitamin C,,none,FSC 1.3.2,Risk,Composition,HO Match,,,,,,,,
142,2019-10-09,Petit Agour cheese,France,Agour Sasu,Listeria,125.0,g,CHE 07/2018,Risk,Not Applied,,,,,,,,,1250000.0
143,2019-10-11,Cooked crawfish,China,Zhongyang Fishery (Shanghai),Standard plate count,125.0,g,CRU 03/2019,Risk,Not Applied,,,,,,,,,1250000.0
144,2019-10-21,Frozen cooked prawns,Vietnam,Bac Lieu Fisheries Joint Stock Company,Vibrio cholerae,125.0,g,CRU 03/2019,Risk,Not Applied,,,,,,,,,1250000.0
145,2019-10-30,Cooked ark shell meat,Republic of Korea,"Namdo Kkomak Co., Ltd",E. coli,,mpn/g,MOL 04/2017,Risk,Not Applied,,,,,,,,,
146,2019-10-31,Dry mizithra cheese,Greece,Metsovo-Vlahotirokomikh Tsoutsoplides (Greece),Listeria,125.0,g,CHE 07/2018,Risk,Not Applied,,,,,,,,,1250000.0
147,2019-10-31,Frozen cooked prawns,Thailand,Top Product Food Co. Ltd,Standard plate count,,cfu/g,CRU 03/2019,Risk,Not Applied,,,,,,,,,
148,2019-10-31,,,,,,none,,Risk,Not Applied,,,,,,,,,
149,2019-10-31,Maldive fish chips,Sri Lanka,Leela Exorts & Imports (Sri Lanka),Histamine,210.0,mg/kg,"HIS 12/2016

",Risk,Not Applied,,,,,,,,,210.0
150,2019-10-04,Dried seaweed,Japan,Kurakon Foods Corporation,Iodine,3900.0,mg/kg,"BSW 12/2016

",Risk,Not Applied,,,,,,,,,3900.0
151,2019-10-08,Fresh whole yellowfin tuna,Maldives,Cmf Fish Processing Factory,Histamine,309.0,mg/kg,"HIS 12/2016

",Risk,Not Applied,,,,,,,,,309.0
152,2019-10-08,Fresh whole yellowfin tuna,Maldives,Cmf Fish Processing Factory,Histamine,218.0,mg/kg,"HIS 12/2016

",Risk,Not Applied,,,,,,,,,218.0
153,2019-10-02,Spice coated peanuts,India,Raghuvanshi Exports,Aflatoxin,0.03,mg/kg,"NUT 11/208

",Risk,Not Applied,,,,,,,,,0.03
154,2019-10-07,Salted anchovies,Philippines,P.O.P Export Trading,Histamine,1500.0,mg/kg,"HIS 12/2016

",Risk,Not Applied,,,,,,,,,1500.0
155,2019-10-18,Peanut and sesame paste,China,Jinhua Import & Export Trading Co Ltd,Aflatoxin,,mg/kg,"NUT 11/208

",Risk,Not Applied,,,,,,,,,
156,2019-10-21,Fresh yellowfin tuna,Maldives,Cmf Fish Processing Factory,Histamine,473.0,mg/kg,"HIS 12/2016

",Risk,Not Applied,,,,,,,,,473.0
157,2019-10-21,Fresh yellowfin tuna,Maldives,Cmf Fish Processing Factory,Histamine,564.0,mg/kg,"HIS 12/2016

",Risk,Not Applied,,,,,,,,,564.0
158,2019-10-21,Fresh yellowfin tuna,Maldives,Cmf Fish Processing Factory,Histamine,253.0,mg/kg,"HIS 12/2016

",Risk,Not Applied,,,,,,,,,253.0
159,2019-10-21,Fresh yellowfin tuna,Maldives,Cmf Fish Processing Factory,Histamine,276.0,mg/kg,"HIS 12/2016

",Risk,Not Applied,,,,,,,,,276.0
160,2019-10-21,Fresh yellowfin tuna,Maldives,Cmf Fish Processing Factory,Histamine,308.0,mg/kg,"HIS 12/2016

",Risk,Not Applied,,,,,,,,,308.0
161,2019-10-28,Cracker nuts,Philippines,Yunik Import And Export Corp,Aflatoxin,,mg/kg,"NUT 11/208

",Risk,Not Applied,,,,,,,,,
162,2019-10-17,Dried herring,Philippines,Pearlfoods International Inc.,Histamine,480.0,mg/kg,"HIS 12/2016

",Risk,Not Applied,,,,,,,,,480.0
163,2019-10-17,,,,,,none,,Risk,Not Applied,,,,,,,,,
164,2019-10-17,,,,,,none,,Risk,Not Applied,,,,,,,,,
165,2019-10-01,Rice milk,Republic of Korea,Okf Corporation,Vitamin C,,none,FSC 1.3.2,Risk,Composition,15391,,,,,,,,
166,2019-10-03,Honey acacia ,Serbia,Med-Honey Doo,Evidence of blended or artificial honey,24.0,none,FSC 2.8.2,Risk,Composition,15398,,,,,,,,24.0
167,2019-10-03,Honey clover,Serbia,Med-Honey Doo,Evidence of blended or artificial honey,21.0,none,FSC 2.8.2,Risk,Composition,15398,,,,,,,,21.0
168,2019-10-04,Fresh sugar snap peas,China,Xiangyang Heli Agriculture Development Co Ltd,Thiamethoxam,0.1,mg/kg,FSC 1.4.2,Risk,Fruit and vegetable residue screen,15401,,,,,,,,0.1
